date,RiskMetrics,Historical,F_Historical,MonteCarlo,GARCH,EGARCH,GJR_GARCH
2016-01-13,-0.01828993110571744,-0.017367651760000002,-0.015761172597944698,-0.017293890500228688,-0.017209151409953785,-0.018197292112185834,-0.020132202109597236
2016-01-14,-0.019517093269210622,-0.0174505622,-0.01671804139063556,-0.018313550576102934,-0.018789100859122783,-0.01985036448912111,-0.022483461875610965
2016-01-15,-0.02008538910401272,-0.0174505622,-0.018977985060932085,-0.020691283895925804,-0.020204880938221734,-0.02140740056705985,-0.02172105225438484
2016-01-19,-0.019544583188960112,-0.0174505622,-0.018714884333910546,-0.020502239945751333,-0.020986985011827965,-0.02245723156045069,-0.023348344191599427
2016-01-20,-0.019747867001200528,-0.0174505622,-0.0183791694992231,-0.02008654807106668,-0.02001489348429507,-0.021162972764150124,-0.02240933882717671
2016-01-21,-0.019382238148801932,-0.0174505622,-0.018145987113671703,-0.019882818743651342,-0.020285819803224758,-0.021746079495823703,-0.023203330924861286
2016-01-22,-0.02007057908344387,-0.0174505622,-0.018054799849121894,-0.01973082998374009,-0.019559434039771655,-0.021028968868668473,-0.022283293105574965
2016-01-25,-0.0205813589523531,-0.0174505622,-0.01897502358758227,-0.020710306751174197,-0.020285095421977078,-0.021995319468273666,-0.021485978379299782
2016-01-26,-0.02080883270112326,-0.0174505622,-0.01872955319314662,-0.02053658091987185,-0.021040876985252758,-0.022972042679083943,-0.023124809861359556
2016-01-27,-0.02043357808312672,-0.0174505622,-0.01962906479221783,-0.021440666536464374,-0.021098219464580115,-0.023273130703368148,-0.022254505613530623
2016-01-28,-0.019886052074399488,-0.0174505622,-0.01843426361857554,-0.020200242033866188,-0.02049765584614854,-0.022726179637892818,-0.021981388538502993
2016-01-29,-0.0222031905361398,-0.0174505622,-0.017949999169442666,-0.01963459208695818,-0.019562461590502112,-0.021427553181319364,-0.02110972958672362
2016-02-01,-0.02172386171433564,-0.0174505622,-0.02134084371991391,-0.02328052933745027,-0.02261449308660706,-0.024060238977337525,-0.020507287725939887
2016-02-02,-0.022100416954443505,-0.0174505622,-0.019945585621655673,-0.021809010728428797,-0.021711511247642173,-0.023088502065133923,-0.01971859614149791
2016-02-03,-0.02201439243073379,-0.017367651760000002,-0.019770392845167403,-0.021772711452872132,-0.022281294935040392,-0.02394834207802365,-0.02163976589905945
2016-02-04,-0.02143202329568484,-0.017367651760000002,-0.0201968340385902,-0.02216745477514445,-0.02192910161349737,-0.02382090793892688,-0.020829591982323488
2016-02-05,-0.021014532795900837,-0.017367651760000002,-0.018938036450218732,-0.020821817948504413,-0.02101283707200665,-0.02273036181171935,-0.02027103480306366
2016-02-08,-0.020954930569363723,-0.017367651760000002,-0.018299940120415463,-0.0201342876988036,-0.020397733844000076,-0.022202431397989726,-0.020112502266664056
2016-02-09,-0.020365311495901265,-0.017367651760000002,-0.018167167116086496,-0.020005695886465863,-0.02037177974932598,-0.022416357376799072,-0.020799904266036305
2016-02-10,-0.019758678214546802,-0.017367651760000002,-0.017710091603079202,-0.01946123246260328,-0.01941582953014369,-0.021033936812231542,-0.019985006206520186
2016-02-11,-0.025338850847042023,-0.017367651760000002,-0.01681143807151796,-0.018480627537371785,-0.018482834822827074,-0.019538362993609098,-0.01921200035781344
2016-02-12,-0.026093027080121,-0.0174505622,-0.023389487818850224,-0.025712378956905223,-0.026834715977414502,-0.025351813943557157,-0.03151501784104652
2016-02-16,-0.02595380664527509,-0.0174505622,-0.025593679208008552,-0.02796337755793582,-0.027464097569494313,-0.026605360552593698,-0.030316232582327112
2016-02-17,-0.0268278307262964,-0.0174505622,-0.024848683409299712,-0.027170308069943187,-0.02688872245520199,-0.02650990611868222,-0.02908698417426486
2016-02-18,-0.02604144565878517,-0.0174505622,-0.02581100067387378,-0.028208380475048596,-0.027737623488813184,-0.027851434624597306,-0.028004963131780393
2016-02-19,-0.02530631739955782,-0.0174505622,-0.02392285641571059,-0.02620158122305071,-0.026389394723423335,-0.02612955390245084,-0.026936289111210345
2016-02-22,-0.025095287275279567,-0.0174505622,-0.02294441609271905,-0.025115004857392976,-0.02510901548355487,-0.024521469651769778,-0.025829801773396274
2016-02-23,-0.024541748135353342,-0.0174505622,-0.02267577166357499,-0.024802454638124683,-0.024583090483610282,-0.02442774085169273,-0.024819802281296592
2016-02-24,-0.023847835941637037,-0.0174505622,-0.02136863144460039,-0.023423373584722563,-0.023725593385139226,-0.02376879999054809,-0.0243589528314656
2016-02-25,-0.023627052930865464,-0.0174505622,-0.0206472118883479,-0.02260501260135541,-0.0225924203846731,-0.022339757850306233,-0.023378666478815903
2016-02-26,-0.023319761328281056,-0.0174505622,-0.02044834125556488,-0.022367410615848817,-0.022151108734173756,-0.022288014829605515,-0.02247584594985491
