date,RiskMetrics,F_Historical,MonteCarlo,GARCH,FIGARCH,EGARCH,TARCH,GJR_GARCH
2016-03-21,-0.01727786953448035,-0.013310149663069596,-0.014640691735289502,-0.014570420267499502,-0.014006189467444186,-0.015014225611491874,-0.013059829169285523,-0.014356213938936813
2016-03-22,-0.01682334629447342,-0.012564861874619963,-0.013838103798294341,-0.013904127110727565,-0.013342961644324894,-0.01393462470643467,-0.01237265498066562,-0.013842150681445118
2016-03-23,-0.016418503946052574,-0.012055043429052113,-0.013291810437701418,-0.013468895869706511,-0.01293242751093913,-0.01360034507736189,-0.012669867351305892,-0.013611872247258563
2016-03-24,-0.015922198829698943,-0.011743198415288689,-0.012949216319460695,-0.013132915104178067,-0.012645746337364833,-0.013418115147627885,-0.013128899172129836,-0.013506704201957861
2016-03-28,-0.015495900738883236,-0.011336761906794656,-0.012494979574833455,-0.012575891126724541,-0.012178212108898981,-0.012656756031174424,-0.012699607384700726,-0.013057950478144354
2016-03-29,-0.015933371205854755,-0.010927773620060552,-0.012054539048550916,-0.012203497290231083,-0.011900967447120287,-0.012355502331789604,-0.012868063490167093,-0.012826568977389262
2016-03-30,-0.01545131970863635,-0.012209934125950794,-0.013418439050830934,-0.013145652367999689,-0.01301799056200878,-0.013469583992862588,-0.012423081756528224,-0.01252034449678828
2016-03-31,-0.015027795690236134,-0.011372255695922661,-0.012524715970021007,-0.012557297494535465,-0.012624589545845126,-0.012471110732614931,-0.011774510681822047,-0.012081072883950095
2016-04-01,-0.015030303262385575,-0.010908479031336578,-0.012026869157024448,-0.012155711009018815,-0.012487338833438916,-0.012120682264707082,-0.011920309255374944,-0.011880301272187177
2016-04-04,-0.014594562520717834,-0.011386687105862936,-0.012518754619095513,-0.012331551962865997,-0.012710901563091114,-0.012566495992890177,-0.011471095722115026,-0.011566206653305855
2016-04-05,-0.014898279380535394,-0.010682595701888481,-0.011776847979774335,-0.011886615478096683,-0.012304653341084815,-0.012058784990452319,-0.011423057329936948,-0.011310279069434959
2016-04-06,-0.015046794874949334,-0.01132166782292347,-0.012503997140827646,-0.012866089537211231,-0.013374047154996047,-0.013190597501088867,-0.013547918119768855,-0.013240178339582822
2016-04-07,-0.01513670292442316,-0.012170866080491661,-0.013379697338416398,-0.013174747678152054,-0.013795634715834901,-0.013757687596658958,-0.013003398282394354,-0.012857255280183716
2016-04-08,-0.01472024328050019,-0.01205134657103954,-0.013301680489260186,-0.01363164326256593,-0.014479541594593937,-0.014443873379865035,-0.014646041294859394,-0.013990465705094572
2016-04-11,-0.014418622837875083,-0.011884246339569358,-0.013085811086373468,-0.013071374247979196,-0.014056339506961784,-0.013681850584574076,-0.013890638594774875,-0.013512931960632565
2016-04-12,-0.014855881174682969,-0.011453801921848186,-0.012635103714858693,-0.01282143239964503,-0.013815020181849545,-0.01356711159787412,-0.014359469781058723,-0.013486930785268258
2016-04-13,-0.014592774291280116,-0.012533852859538855,-0.01377402735691357,-0.013509219103518289,-0.014348720766432805,-0.014436253078188391,-0.013788732170581844,-0.013109499797292371
2016-04-14,-0.014149178292586065,-0.012018063736878503,-0.013226768098733542,-0.013147100341932333,-0.013948658341722696,-0.01413687525977768,-0.013148415355694202,-0.012693710115246564
2016-04-15,-0.013727237845806118,-0.011353825745511475,-0.012512878851044351,-0.01258950804923425,-0.01340419370088785,-0.013252173550990757,-0.012621907188924699,-0.012293304466055175
2016-04-18,-0.013428509593858865,-0.010882638521696802,-0.01199933768493202,-0.012095165191646343,-0.012761619118544043,-0.012570872356322043,-0.012319484727591897,-0.011947376168146838
2016-04-19,-0.01311261837829299,-0.010701698218713935,-0.011785042838169116,-0.011726941988708443,-0.01218967733995378,-0.012213391996808366,-0.011761833372852347,-0.011587169761544423
2016-04-20,-0.01274642536511779,-0.010339052068723873,-0.01138959150706704,-0.011356966166792878,-0.011659977779671107,-0.011806439704458544,-0.011240494442502918,-0.011251710939300408
2016-04-21,-0.012531857343779939,-0.009853605202042034,-0.010874354448811362,-0.011004259014126957,-0.011204343951808637,-0.011409655040634466,-0.011272897500507134,-0.01104688744813566
2016-04-22,-0.01224054692663944,-0.009734242686544674,-0.010751138468248995,-0.010951856927098288,-0.011109191570746541,-0.011504318390871331,-0.011949159317764918,-0.011259940916176707
2016-04-25,-0.012327315725063013,-0.009664947056472698,-0.010653525177552792,-0.010625112976713267,-0.010785619002370917,-0.011124932022958252,-0.011406933385913559,-0.010939432607847573
2016-04-26,-0.011959796886761182,-0.009799827065809234,-0.010830315501354843,-0.011108606621200563,-0.011348532890947881,-0.011768296946992498,-0.012784699406834521,-0.011895779495518578
2016-04-27,-0.012049301723817128,-0.00965842798713425,-0.010649999496784359,-0.010675190761107352,-0.011009334567472927,-0.010964695455889985,-0.01213329854036107,-0.011529569563453261
2016-04-28,-0.012189674665465895,-0.010027487744028996,-0.011032329267052093,-0.01086503945024943,-0.011301654492421716,-0.011346853284889769,-0.011655704028186562,-0.01122610384534354
2016-04-29,-0.012007528120975709,-0.010068830295470595,-0.011117834042126235,-0.011382355818337795,-0.011872858345204589,-0.01203150838609162,-0.013094034358759743,-0.012237558525803624
2016-05-02,-0.012515390049346172,-0.010078649355196981,-0.011122707056245398,-0.01131058997299377,-0.01191984076714364,-0.012094897733960705,-0.01366985727633811,-0.012356011818018023
2016-05-03,-0.012283465489508769,-0.01115100372819139,-0.01225609267804042,-0.012011898109286202,-0.012727089331649233,-0.012929476714731906,-0.013130386593882834,-0.0120358723862986
2016-05-04,-0.011969982580278073,-0.010551758668017493,-0.01163818487133959,-0.011815863937691441,-0.012609287303012895,-0.012823787069172855,-0.013583692540710958,-0.012084299732964359
