date,CWB,CU,BTE,ATA,ASR,ARX,ARE,AQN,CP,ENB,CNR,CNQ,BNS,EMA,CM,BMO,ELD,CLS,BLX,ALA,CIX,CIGI,AGI,CFP,AEM,CCO,CCA,BCE,BCB,BB,ABX,ABT,CAS,CAE
11/21/2016,-0.027622996,0.002185282,0.001816531,-0.009197817,0.016326893,-0.001251985,-0.006789787,0.004702882,-0.013344145,0.00361259,-0.005409615,0,-0.000550281,-0.004450211,-0.002571078,-0.000679081,-0.005291791,-0.001215067,-0.027590977,0.001211155,0.001526459,-0.02592963,-0.002272911,-0.032391496,0.009691186,-0.011313474,0.002028005,0.005187907,-0.020925191,-0.002939738,0,0.001608284,-0.029617511,0.001521421
11/22/2016,-0.022787962,0.003008718,0.031396854,-0.017146159,0.063715814,-0.003327774,-0.053392003,-0.003761909,0.00411333,0.001897818,-0.001797508,-0.000680446,0.000413859,0.000221025,-0.001995888,-0.007438365,0.057025814,-0.013269193,-0.012656199,0.008397948,-0.006091906,-0.014374693,0.049983372,-0.005298026,0.066884367,0,0.000781227,-0.002943923,0.011021567,0.013793322,0.046078248,0.016263486,-0.009429193,-0.00354815
11/23/2016,0.002389694,0.011850977,-0.001874415,-0.0009995,-0.004376375,0.002077354,0.001925637,-0.004685265,-0.000396926,0.007970603,-0.000336452,0.002268284,0.000136423,-0.003768508,0.000474799,0.002923322,0.011209582,0.004202948,-0.019258244,-0.002448808,-0.000380608,0.009767307,0.011993038,-0.00395518,-0.010911962,-0.013556677,0.000781838,-0.001727207,0.011137828,0.001986098,0.003556669,-0.004914195,-0.012721942,0.006597953
11/24/2016,0.001715819,0.001940842,0.032352964,-0.006968669,-0.021599112,0.022760195,-0.013416217,0,-0.002132631,0,-0.011596571,0.007984813,-0.003847188,-0.002429563,-0.003980673,-0.000224403,-0.011209582,0.001806685,0.020400499,0.004291258,-0.003789421,-0.00270946,0.00119626,0.008589415,-0.01351811,0.010348821,-0.002811427,-0.003617853,-0.008132068,-0.005946499,-0.019652166,-0.009738416,0.012721942,-0.001526064
11/25/2016,0.013458621,0.011734342,0.017561427,-0.04462428,-0.074107972,0.022896314,0.018574201,-0.008387098,0.013617011,0.000871492,0.008014774,0.023640349,0.005225003,-0.008791492,0.001420082,-0.00135037,-0.041065682,0.0103,-0.004604968,0.000616173,-0.00246327,-0.011392593,-0.057492209,0.02146293,-0.02773638,-0.001595903,0.000467744,0.000344758,0.003119394,0.010929071,-0.033268678,-0.001610875,0.00341528,-0.008096396
11/28/2016,-0.002430005,0,0.029972274,-0.025294089,0.011976191,0.027925321,0.020240504,-0.022024181,-0.005309366,0.012793744,-0.003236131,0.023010214,-0.01613942,0.009673138,-0.004159653,-0.002246988,0.027179668,-0.001825373,-0.009146804,0.013621913,-0.011672082,0.024389945,-0.006814983,-0.001355014,0.002762448,0.025091558,-0.01009296,-0.006342922,0.005643493,0.0009995,-0.002895914,0.014610502,-0.005977962,0.002522429
11/29/2016,-0.010688875,0.005920808,-0.155598487,0.029096374,0.012121361,-0.055509636,-0.030530002,-0.00992809,-0.026811698,0.003358936,-0.000445381,-0.08418678,-0.005952921,0.003541987,0.000283723,0.006866832,-0.019089469,0.009160369,0.005135557,-0.01730569,0.005255235,-0.002949005,0.032228005,0.005431106,0.020974561,-0.013030165,0.002630207,0.010652385,0.041058928,-0.033434776,0.029343596,-0.016218786,0.005123048,-0.001013958
11/30/2016,-0.038677903,0.001132823,-0.034133006,-0.000951928,-0.035932009,-0.016444894,0.012228837,-0.011611236,-0.006012142,0.023277711,-0.004776521,-0.000880532,0.000674547,0.01181764,-0.022024657,-0.001467815,0.008128795,0.034959865,-0.02931923,0.005839566,-0.009366894,-0.016072129,0.047911106,-0.006107925,0.032590584,-0.02319499,0.009337593,0.01461695,0.040767778,0.029442755,0.006473733,-0.015977699,-0.021164858,0.010660839
12/1/2016,0.026746885,0.005959633,-0.014987791,-0.000951022,0.007874056,0.00251133,0.001950258,0.020641229,0.029980841,-0.005420559,0.007118159,0.001321089,-0.003771002,0.008787487,-0.001383798,-0.003826531,-0.047888529,-0.003804697,0.036203745,-0.002155789,-0.006690757,0.005607109,-0.01702818,0.014996873,-0.021661923,0.011133596,0.00140886,-0.005594551,-0.00068459,-0.00199005,-0.038704882,-0.00158027,-0.000836303,0.00408957
12/2/2016,0.000339558,0.001427121,-0.019640566,-0.017899677,0.003960401,-0.00251133,-0.01545435,-0.00090772,-0.001791961,-0.002161282,-0.003565413,0.00243264,0.001075541,-0.000227814,-0.002485393,-0.00649642,-0.012892359,-0.016321768,-0.009744307,0.003078942,0.001114149,0.021678015,-0.010798979,-0.012286844,0.005877952,-0.034569237,-0.00655499,-0.005042031,0.002048033,-0.003968259,-0.001918779,0.00158027,0.056817842,0.00565128
